name: Cam Ward, season: 2011, playerId: 8470320, team: CAR, position: G, situation: 5on4, games_played: 68, icetime: 22207.0, xGoals: 5.32, goals: 2.0, unblocked_shot_attempts: 95.0, xRebounds: 2.82, rebounds: 3.0, xFreeze: 7.82, freeze: 8.0, xOnGoal: 59.03, ongoal: 69.0, xPlayStopped: 10.17, playStopped: 11.0, xPlayContinuedInZone: 17.41, playContinuedInZone: 16.0, xPlayContinuedOutsideZone: 45.92, playContinuedOutsideZone: 51.0, flurryAdjustedxGoals: 5.23, lowDangerShots: 61.0, mediumDangerShots: 15.0, highDangerShots: 5.0, lowDangerxGoals: 1.64, mediumDangerxGoals: 2.06, highDangerxGoals: 1.62, lowDangerGoals: 0.0, mediumDangerGoals: 1.0, highDangerGoals: 1.0, blocked_shot_attempts: 14.0, penalityMinutes: 0.0, penalties: 0.0

name: Tuukka Rask, season: 2011, playerId: 8471695, team: BOS, position: G, situation: other, games_played: 23, icetime: 1978.0, xGoals: 5.64, goals: 4.0, unblocked_shot_attempts: 65.0, xRebounds: 2.32, rebounds: 2.0, xFreeze: 7.31, freeze: 9.0, xOnGoal: 35.7, ongoal: 36.0, xPlayStopped: 1.02, playStopped: 1.0, xPlayContinuedInZone: 17.35, playContinuedInZone: 7.0, xPlayContinuedOutsideZone: 13.22, playContinuedOutsideZone: 22.0, flurryAdjustedxGoals: 5.4, lowDangerShots: 26.0, mediumDangerShots: 14.0, highDangerShots: 7.0, lowDangerxGoals: 0.73, mediumDangerxGoals: 1.77, highDangerxGoals: 3.14, lowDangerGoals: 0.0, mediumDangerGoals: 2.0, highDangerGoals: 2.0, blocked_shot_attempts: 18.0, penalityMinutes: 0.0, penalties: 0.0

name: Tuukka Rask, season: 2011, playerId: 8471695, team: BOS, position: G, situation: all, games_played: 23, icetime: 77364.0, xGoals: 49.22, goals: 44.0, unblocked_shot_attempts: 1127.0, xRebounds: 41.04, rebounds: 27.0, xFreeze: 139.84, freeze: 148.0, xOnGoal: 613.93, ongoal: 621.0, xPlayStopped: 22.78, playStopped: 16.0, xPlayContinuedInZone: 337.28, playContinuedInZone: 246.0, xPlayContinuedOutsideZone: 260.87, playContinuedOutsideZone: 371.0, flurryAdjustedxGoals: 48.13, lowDangerShots: 649.0, mediumDangerShots: 165.0, highDangerShots: 34.0, lowDangerxGoals: 17.77, mediumDangerxGoals: 19.61, highDangerxGoals: 11.84, lowDangerGoals: 21.0, mediumDangerGoals: 16.0, highDangerGoals: 7.0, blocked_shot_attempts: 279.0, penalityMinutes: 2.0, penalties: 1.0

name: Tuukka Rask, season: 2011, playerId: 8471695, team: BOS, position: G, situation: 5on5, games_played: 23, icetime: 64285.0, xGoals: 36.5, goals: 36.0, unblocked_shot_attempts: 893.0, xRebounds: 31.22, rebounds: 22.0, xFreeze: 114.89, freeze: 121.0, xOnGoal: 489.85, ongoal: 494.0, xPlayStopped: 18.48, playStopped: 12.0, xPlayContinuedInZone: 266.8, playContinuedInZone: 193.0, xPlayContinuedOutsideZone: 208.74, playContinuedOutsideZone: 294.0, flurryAdjustedxGoals: 35.84, lowDangerShots: 518.0, mediumDangerShots: 136.0, highDangerShots: 20.0, lowDangerxGoals: 15.0, mediumDangerxGoals: 15.81, highDangerxGoals: 5.69, lowDangerGoals: 21.0, mediumDangerGoals: 12.0, highDangerGoals: 3.0, blocked_shot_attempts: 219.0, penalityMinutes: 2.0, penalties: 1.0

name: Tuukka Rask, season: 2011, playerId: 8471695, team: BOS, position: G, situation: 4on5, games_played: 23, icetime: 6133.0, xGoals: 6.39, goals: 4.0, unblocked_shot_attempts: 148.0, xRebounds: 7.01, rebounds: 3.0, xFreeze: 15.89, freeze: 17.0, xOnGoal: 77.06, ongoal: 76.0, xPlayStopped: 0.52, playStopped: 1.0, xPlayContinuedInZone: 49.36, playContinuedInZone: 43.0, xPlayContinuedOutsideZone: 27.94, playContinuedOutsideZone: 41.0, flurryAdjustedxGoals: 6.2, lowDangerShots: 89.0, mediumDangerShots: 13.0, highDangerShots: 7.0, lowDangerxGoals: 1.66, mediumDangerxGoals: 1.72, highDangerxGoals: 3.01, lowDangerGoals: 0.0, mediumDangerGoals: 2.0, highDangerGoals: 2.0, blocked_shot_attempts: 39.0, penalityMinutes: 0.0, penalties: 0.0

name: Tuukka Rask, season: 2011, playerId: 8471695, team: BOS, position: G, situation: 5on4, games_played: 23, icetime: 4968.0, xGoals: 0.53, goals: 0.0, unblocked_shot_attempts: 16.0, xRebounds: 0.34, rebounds: 0.0, xFreeze: 1.18, freeze: 0.0, xOnGoal: 8.37, ongoal: 11.0, xPlayStopped: 2.58, playStopped: 2.0, xPlayContinuedInZone: 2.32, playContinuedInZone: 2.0, xPlayContinuedOutsideZone: 9.39, playContinuedOutsideZone: 12.0, flurryAdjustedxGoals: 0.53, lowDangerShots: 12.0, mediumDangerShots: 2.0, highDangerShots: 0.0, lowDangerxGoals: 0.22, mediumDangerxGoals: 0.31, highDangerxGoals: 0.0, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 2.0, penalityMinutes: 0.0, penalties: 0.0

